‘Ahu‘awa, Mariscus javanicus, Basin, sedge, Wet & Dry Climate
‘Ākia, Wikstroemia uva-ursi, Slope/berm, low shrub, Wet & Dry Climate
‘Ākulikuli, Sessuvium portulacastrum, Inlet, ground cover, Wet & Dry Climate
Carex, Carex wahuensis, Basin, sedge, Wet & Dry Climate
‘Ilie‘e, Plumbago zeylanica, Slope/berm, low shrub, Wet & Dry Climate
Koki‘o ke‘oke‘o, Hibiscus arnottianus, Accent/tall, shrub, Wet & Dry Climate
Ko‘oko‘olau, Bidens torta, Basin, low shrub, Wet & Dry Climate
Kupukupu, Nephrolepis cordifolia, Slope/berm, fern, Wet & Dry Climate
‘A‘ali‘i, Dodonaea viscosa, Accent, bush, Dry Climate 
‘Āhinahina, Artemisia mauiensis, Basin, herb/low shrub, Dry Climate 
‘Akoko, Chamaesyce celastroides, Slope/berm, bush, Dry Climate
‘Āweoweo, Chenopodium oahuensis, Accent, shrub, Dry Climate
Hinahina ewa, Achyranthes splendens rotundata, Accent, bush, Dry Climate
Ihi, Portulaca villosa, Basin, ground cover, Dry Climate
‘Ilima, Sida fallax, Slope/berm, low shrub, Dry Climate
Kāwelu, Eragrostis Variabilis, Slope/berm, bunching grass, Dry Climate
Kulu‘ī, Nototrichium humile sandwicense, Accent, shrub, Dry Climate
Maiapilo, Capparis sandwichiana, Slope/berm, low shrub, Dry Climate
Naio papa, Myoporum sandwicenses, Slope/berm, low shrub, Dry Climate
‘Ohai, Sesbania Tomentosa, Slope/berm, low shrub, Dry Climate
‘Ōhelo kai, Lycium sandwicense, Slope/berm, shrub, Dry Climate
Pā‘ūohi‘iaka, Jacquemontia ovalifolia, Slope/berm, vine, Dry Climate
Pōhinahina, Vitex rotundifolia, Slope/berm, low shrub, Dry Climate
Pōhuehue, Ipomea pes-caprae, Slope/berm, vine, Dry Climate
‘Ūlei, Osteomeles anthyllidifolia, Slope/berm, low shrub, Dry Climate
‘Ae‘ae, Bacopa mannieri, Inlet, ground cover, Wet Climate
A‘ka‘akai, Schoenoplectella tabernae-montani, Basin, tall rush, Wet Climate
‘Ala‘ala wai nui, Plectranthus parviflorus, Slope/berm, herb, Wet Climate
Alahe‘e, Psydrax odoratum, Accent, tree, Wet Climate 
Hapu‘u, Cibotium sp., Basin, tall fern, Wet Climate 
Ihi‘ihilauakea, Marsillia villosa, Inlet, ground cover, Wet Climate 
‘Iliahi, Santalum freycinetianum, Accent/Basin, tree, Wet Climate 
Loulu, Pritchardia sp., Basin, tree, Wet Climate 
Makaloa, Cyperus laevigatus, Basin, tall sedge, Wet Climate 
Māmake, Pipturus albidus, Accent/Basin, tree, Wet Climate 
Mau‘u ‘aki ‘aki, Fimbristylis cymosa, Basin, bunching grass, Wet Climate 
Nehe, Melanthera integrifola, Basin, ground cover, Wet Climate 
Pu‘uka‘a, Cyperus trachysanthos, Basin, sedge, Wet Climate 
Uki, Machaerina angustifolia, Basin, sedge, Wet Climate 
‘Uki‘uki, Dianella sandwicensis, Basin, sedge, Wet Climate